ID	significant	snp_num	label	TF	ratio
ERX1831867	significant	1	within	CTCF	1
ERX1831867	significant	128	without	CTCF	0.367816091954023
ERX1831867	non_significant	220	without	CTCF	0.632183908045977
ERX2868668	significant	1	within	CTCF	1
ERX2868668	significant	117	without	CTCF	0.33620689655172414
ERX2868668	non_significant	231	without	CTCF	0.6637931034482759
ERX2868669	significant	1	within	CTCF	1
ERX2868669	significant	134	without	CTCF	0.3850574712643678
ERX2868669	non_significant	214	without	CTCF	0.6149425287356322
ERX2868670	significant	1	within	CTCF	0.5
ERX2868670	non_significant	1	within	CTCF	0.5
ERX2868670	significant	132	without	CTCF	0.3804034582132565
ERX2868670	non_significant	215	without	CTCF	0.6195965417867435
ERX2868671	significant	1	within	CTCF	1
ERX2868671	significant	148	without	CTCF	0.42528735632183906
ERX2868671	non_significant	200	without	CTCF	0.5747126436781609
ERX2868672	significant	1	within	CTCF	1
ERX2868672	significant	148	without	CTCF	0.42528735632183906
ERX2868672	non_significant	200	without	CTCF	0.5747126436781609
ERX2868673	significant	1	within	CTCF	1
ERX2868673	significant	134	without	CTCF	0.3850574712643678
ERX2868673	non_significant	214	without	CTCF	0.6149425287356322
ERX2868692	significant	1	within	CTCF	1
ERX2868692	significant	143	without	CTCF	0.4109195402298851
ERX2868692	non_significant	205	without	CTCF	0.5890804597701149
ERX2868693	significant	1	within	CTCF	1
ERX2868693	significant	143	without	CTCF	0.4109195402298851
ERX2868693	non_significant	205	without	CTCF	0.5890804597701149
ERX2868695	significant	1	within	CTCF	1
ERX2868695	significant	139	without	CTCF	0.3994252873563218
ERX2868695	non_significant	209	without	CTCF	0.6005747126436781
ERX2868696	significant	1	within	CTCF	1
ERX2868696	significant	126	without	CTCF	0.3620689655172414
ERX2868696	non_significant	222	without	CTCF	0.6379310344827587
ERX2868697	significant	1	within	CTCF	0.5
ERX2868697	non_significant	1	within	CTCF	0.5
ERX2868697	significant	135	without	CTCF	0.38904899135446686
ERX2868697	non_significant	212	without	CTCF	0.6109510086455331
ERX2868710	significant	2	within	CTCF	0.5
ERX2868710	non_significant	2	within	CTCF	0.5
ERX2868710	significant	133	without	CTCF	0.3855072463768116
ERX2868710	non_significant	212	without	CTCF	0.6144927536231884
ERX2868711	significant	1	within	CTCF	0.5
ERX2868711	non_significant	1	within	CTCF	0.5
ERX2868711	significant	162	without	CTCF	0.4668587896253602
ERX2868711	non_significant	185	without	CTCF	0.5331412103746398
ERX2868712	significant	1	within	CTCF	0.5
ERX2868712	non_significant	1	within	CTCF	0.5
ERX2868712	significant	150	without	CTCF	0.4322766570605187
ERX2868712	non_significant	197	without	CTCF	0.5677233429394812
ERX2868713	significant	2	within	CTCF	0.5
ERX2868713	non_significant	2	within	CTCF	0.5
ERX2868713	significant	136	without	CTCF	0.39420289855072466
ERX2868713	non_significant	209	without	CTCF	0.6057971014492753
ERX2868714	significant	2	within	CTCF	0.6666666666666666
ERX2868714	non_significant	1	within	CTCF	0.3333333333333333
ERX2868714	significant	140	without	CTCF	0.4046242774566474
ERX2868714	non_significant	206	without	CTCF	0.5953757225433526
ERX2868715	significant	1	within	CTCF	0.3333333333333333
ERX2868715	non_significant	2	within	CTCF	0.6666666666666666
ERX2868715	significant	157	without	CTCF	0.45375722543352603
ERX2868715	non_significant	189	without	CTCF	0.546242774566474
ERX2868716	significant	2	within	CTCF	0.5
ERX2868716	non_significant	2	within	CTCF	0.5
ERX2868716	significant	162	without	CTCF	0.46956521739130436
ERX2868716	non_significant	183	without	CTCF	0.5304347826086957
ERX2868717	significant	2	within	CTCF	0.6666666666666666
ERX2868717	non_significant	1	within	CTCF	0.3333333333333333
ERX2868717	significant	150	without	CTCF	0.43352601156069365
ERX2868717	non_significant	196	without	CTCF	0.5664739884393064
ERX2868732	significant	2	within	CTCF	1
ERX2868732	significant	203	without	CTCF	0.5850144092219021
ERX2868732	non_significant	144	without	CTCF	0.414985590778098
ERX2868733	significant	2	within	CTCF	0.5
ERX2868733	non_significant	2	within	CTCF	0.5
ERX2868733	significant	165	without	CTCF	0.4782608695652174
ERX2868733	non_significant	180	without	CTCF	0.5217391304347826
ERX2868734	significant	2	within	CTCF	0.6666666666666666
ERX2868734	non_significant	1	within	CTCF	0.3333333333333333
ERX2868734	significant	235	without	CTCF	0.6791907514450867
ERX2868734	non_significant	111	without	CTCF	0.3208092485549133
ERX2868735	significant	2	within	CTCF	0.6666666666666666
ERX2868735	non_significant	1	within	CTCF	0.3333333333333333
ERX2868735	significant	241	without	CTCF	0.6965317919075145
ERX2868735	non_significant	105	without	CTCF	0.30346820809248554
ERX2868752	significant	1	within	CTCF	0.25
ERX2868752	non_significant	3	within	CTCF	0.75
ERX2868752	significant	133	without	CTCF	0.3855072463768116
ERX2868752	non_significant	212	without	CTCF	0.6144927536231884
ERX2868761	significant	4	within	CTCF	0.4
ERX2868761	non_significant	6	within	CTCF	0.6
ERX2868761	significant	118	without	CTCF	0.3480825958702065
ERX2868761	non_significant	221	without	CTCF	0.6519174041297935
ERX2868777	non_significant	4	within	CTCF	1
ERX2868777	significant	124	without	CTCF	0.35942028985507246
ERX2868777	non_significant	221	without	CTCF	0.6405797101449275
ERX2868778	significant	2	within	CTCF	0.5
ERX2868778	non_significant	2	within	CTCF	0.5
ERX2868778	significant	152	without	CTCF	0.44057971014492753
ERX2868778	non_significant	193	without	CTCF	0.5594202898550724
ERX2868782	significant	1	within	CTCF	0.3333333333333333
ERX2868782	non_significant	2	within	CTCF	0.6666666666666666
ERX2868782	significant	126	without	CTCF	0.36416184971098264
ERX2868782	non_significant	220	without	CTCF	0.6358381502890174
ERX2868792	non_significant	6	within	CTCF	1
ERX2868792	significant	109	without	CTCF	0.3177842565597668
ERX2868792	non_significant	234	without	CTCF	0.6822157434402333
ERX2868793	non_significant	7	within	CTCF	1
ERX2868793	significant	97	without	CTCF	0.28362573099415206
ERX2868793	non_significant	245	without	CTCF	0.716374269005848
ERX2868794	significant	1	within	CTCF	1
ERX2868794	significant	131	without	CTCF	0.3764367816091954
ERX2868794	non_significant	217	without	CTCF	0.6235632183908046
ERX2868800	significant	1	within	CTCF	0.5
ERX2868800	non_significant	1	within	CTCF	0.5
ERX2868800	significant	116	without	CTCF	0.33429394812680113
ERX2868800	non_significant	231	without	CTCF	0.6657060518731989
ERX2868801	non_significant	3	within	CTCF	1
ERX2868801	significant	72	without	CTCF	0.20809248554913296
ERX2868801	non_significant	274	without	CTCF	0.791907514450867
ERX2868812	significant	1	within	CTCF	0.5
ERX2868812	non_significant	1	within	CTCF	0.5
ERX2868812	significant	99	without	CTCF	0.28530259365994237
ERX2868812	non_significant	248	without	CTCF	0.7146974063400576
ERX2868813	significant	2	within	CTCF	0.4
ERX2868813	non_significant	3	within	CTCF	0.6
ERX2868813	significant	138	without	CTCF	0.4011627906976744
ERX2868813	non_significant	206	without	CTCF	0.5988372093023255
ERX2868814	non_significant	2	within	CTCF	1
ERX2868814	significant	92	without	CTCF	0.26512968299711814
ERX2868814	non_significant	255	without	CTCF	0.7348703170028819
ERX2868821	significant	2	within	CTCF	1
ERX2868821	significant	191	without	CTCF	0.5504322766570605
ERX2868821	non_significant	156	without	CTCF	0.4495677233429395
ERX2869656	significant	1	within	CTCF	0.5
ERX2869656	non_significant	1	within	CTCF	0.5
ERX2869656	significant	144	without	CTCF	0.414985590778098
ERX2869656	non_significant	203	without	CTCF	0.5850144092219021
SRX031246	significant	1	within	CTCF	1
SRX031246	significant	124	without	CTCF	0.3563218390804598
SRX031246	non_significant	224	without	CTCF	0.6436781609195402
SRX038524	non_significant	1	within	CTCF	1
SRX038524	significant	65	without	CTCF	0.1867816091954023
SRX038524	non_significant	283	without	CTCF	0.8132183908045977
SRX067396	non_significant	1	within	CTCF	1
SRX067396	significant	89	without	CTCF	0.2557471264367816
SRX067396	non_significant	259	without	CTCF	0.7442528735632183
SRX067423	non_significant	1	within	CTCF	1
SRX067423	significant	42	without	CTCF	0.1206896551724138
SRX067423	non_significant	306	without	CTCF	0.8793103448275862
SRX067475	significant	1	within	CTCF	0.5
SRX067475	non_significant	1	within	CTCF	0.5
SRX067475	significant	125	without	CTCF	0.36023054755043227
SRX067475	non_significant	222	without	CTCF	0.6397694524495677
SRX067503	non_significant	1	within	CTCF	1
SRX067503	significant	134	without	CTCF	0.3850574712643678
SRX067503	non_significant	214	without	CTCF	0.6149425287356322
SRX067513	non_significant	2	within	CTCF	1
SRX067513	significant	97	without	CTCF	0.27953890489913547
SRX067513	non_significant	250	without	CTCF	0.7204610951008645
SRX067516	non_significant	1	within	CTCF	1
SRX067516	significant	141	without	CTCF	0.4051724137931034
SRX067516	non_significant	207	without	CTCF	0.5948275862068966
SRX067534	non_significant	1	within	CTCF	1
SRX067534	significant	104	without	CTCF	0.2988505747126437
SRX067534	non_significant	244	without	CTCF	0.7011494252873564
SRX067536	non_significant	3	within	CTCF	1
SRX067536	significant	77	without	CTCF	0.22254335260115607
SRX067536	non_significant	269	without	CTCF	0.7774566473988439
SRX080336	non_significant	1	within	CTCF	1
SRX080336	significant	93	without	CTCF	0.2672413793103448
SRX080336	non_significant	255	without	CTCF	0.7327586206896551
SRX080338	significant	1	within	CTCF	1
SRX080338	significant	98	without	CTCF	0.28160919540229884
SRX080338	non_significant	250	without	CTCF	0.7183908045977011
SRX080344	non_significant	1	within	CTCF	1
SRX080344	significant	96	without	CTCF	0.27586206896551724
SRX080344	non_significant	252	without	CTCF	0.7241379310344828
SRX080362	significant	1	within	CTCF	1
SRX080362	significant	117	without	CTCF	0.33620689655172414
SRX080362	non_significant	231	without	CTCF	0.6637931034482759
SRX080369	non_significant	1	within	CTCF	1
SRX080369	significant	114	without	CTCF	0.3275862068965517
SRX080369	non_significant	234	without	CTCF	0.6724137931034483
SRX080373	non_significant	1	within	CTCF	1
SRX080373	significant	106	without	CTCF	0.3045977011494253
SRX080373	non_significant	242	without	CTCF	0.6954022988505747
SRX080395	non_significant	1	within	CTCF	1
SRX080395	significant	107	without	CTCF	0.3074712643678161
SRX080395	non_significant	241	without	CTCF	0.6925287356321839
SRX080408	significant	1	within	CTCF	1
SRX080408	significant	108	without	CTCF	0.3103448275862069
SRX080408	non_significant	240	without	CTCF	0.6896551724137931
SRX080414	non_significant	1	within	CTCF	1
SRX080414	significant	111	without	CTCF	0.31896551724137934
SRX080414	non_significant	237	without	CTCF	0.6810344827586207
SRX080416	non_significant	3	within	CTCF	1
SRX080416	significant	83	without	CTCF	0.2398843930635838
SRX080416	non_significant	263	without	CTCF	0.7601156069364162
SRX092416	significant	1	within	CTCF	1
SRX092416	significant	186	without	CTCF	0.5344827586206896
SRX092416	non_significant	162	without	CTCF	0.46551724137931033
SRX100464	non_significant	1	within	CTCF	1
SRX100464	significant	44	without	CTCF	0.12643678160919541
SRX100464	non_significant	304	without	CTCF	0.8735632183908046
SRX100498	non_significant	1	within	CTCF	1
SRX100498	significant	122	without	CTCF	0.3505747126436782
SRX100498	non_significant	226	without	CTCF	0.6494252873563219
SRX100531	non_significant	2	within	CTCF	1
SRX100531	significant	68	without	CTCF	0.19596541786743515
SRX100531	non_significant	279	without	CTCF	0.8040345821325648
SRX1026678	significant	1	within	CTCF	0.5
SRX1026678	non_significant	1	within	CTCF	0.5
SRX1026678	significant	149	without	CTCF	0.42939481268011526
SRX1026678	non_significant	198	without	CTCF	0.5706051873198847
SRX1026679	significant	2	within	CTCF	0.5
SRX1026679	non_significant	2	within	CTCF	0.5
SRX1026679	significant	119	without	CTCF	0.34492753623188405
SRX1026679	non_significant	226	without	CTCF	0.6550724637681159
SRX1026681	significant	1	within	CTCF	0.5
SRX1026681	non_significant	1	within	CTCF	0.5
SRX1026681	significant	139	without	CTCF	0.40057636887608067
SRX1026681	non_significant	208	without	CTCF	0.5994236311239193
SRX102980	significant	1	within	CTCF	1
SRX102980	significant	124	without	CTCF	0.3563218390804598
SRX102980	non_significant	224	without	CTCF	0.6436781609195402
SRX103011	significant	1	within	CTCF	0.3333333333333333
SRX103011	non_significant	2	within	CTCF	0.6666666666666666
SRX103011	significant	86	without	CTCF	0.24855491329479767
SRX103011	non_significant	260	without	CTCF	0.7514450867052023
SRX1030324	significant	1	within	CTCF	0.5
SRX1030324	non_significant	1	within	CTCF	0.5
SRX1030324	significant	118	without	CTCF	0.3400576368876081
SRX1030324	non_significant	229	without	CTCF	0.659942363112392
SRX1053364	significant	1	within	CTCF	1
SRX1053364	significant	141	without	CTCF	0.4051724137931034
SRX1053364	non_significant	207	without	CTCF	0.5948275862068966
SRX1053365	significant	1	within	CTCF	1
