ID	significant	snp_num	label	TF	ratio
ERX1831867	significant	2	within	CTCF	1
ERX1831867	significant	2	within	CTCF	1
ERX2868668	significant	3	within	CTCF	1
ERX2868668	significant	3	within	CTCF	1
ERX2868669	significant	3	within	CTCF	1
ERX2868669	significant	3	within	CTCF	1
ERX2868670	significant	4	within	CTCF	1
ERX2868670	significant	4	within	CTCF	1
ERX2868671	significant	3	within	CTCF	1
ERX2868671	significant	3	within	CTCF	1
ERX2868672	significant	3	within	CTCF	1
ERX2868672	significant	3	within	CTCF	1
ERX2868673	significant	3	within	CTCF	1
ERX2868673	significant	3	within	CTCF	1
ERX2868692	significant	3	within	CTCF	1
ERX2868692	significant	3	within	CTCF	1
ERX2868693	significant	3	within	CTCF	1
ERX2868693	significant	3	within	CTCF	1
ERX2868695	significant	3	within	CTCF	1
ERX2868695	significant	3	within	CTCF	1
ERX2868696	significant	3	within	CTCF	1
ERX2868696	significant	3	within	CTCF	1
ERX2868697	significant	3	within	CTCF	1
ERX2868697	significant	3	within	CTCF	1
ERX2868710	significant	2	within	CTCF	0.6666666666666666
ERX2868710	non_significant	1	within	CTCF	0.3333333333333333
ERX2868710	significant	2	within	CTCF	0.6666666666666666
ERX2868710	non_significant	1	within	CTCF	0.3333333333333333
ERX2868711	significant	4	within	CTCF	1
ERX2868711	significant	4	within	CTCF	1
ERX2868712	significant	4	within	CTCF	1
ERX2868712	significant	4	within	CTCF	1
ERX2868713	significant	5	within	CTCF	0.7142857142857143
ERX2868713	non_significant	2	within	CTCF	0.2857142857142857
ERX2868713	significant	5	within	CTCF	0.7142857142857143
ERX2868713	non_significant	2	within	CTCF	0.2857142857142857
ERX2868714	significant	4	within	CTCF	0.8
ERX2868714	non_significant	1	within	CTCF	0.2
ERX2868714	significant	4	within	CTCF	0.8
ERX2868714	non_significant	1	within	CTCF	0.2
ERX2868715	significant	2	within	CTCF	0.5
ERX2868715	non_significant	2	within	CTCF	0.5
ERX2868715	significant	2	within	CTCF	0.5
ERX2868715	non_significant	2	within	CTCF	0.5
ERX2868716	significant	2	within	CTCF	0.3333333333333333
ERX2868716	non_significant	4	within	CTCF	0.6666666666666666
ERX2868716	significant	2	within	CTCF	0.3333333333333333
ERX2868716	non_significant	4	within	CTCF	0.6666666666666666
ERX2868717	significant	2	within	CTCF	1
ERX2868717	significant	2	within	CTCF	1
ERX2868732	significant	4	within	CTCF	1
ERX2868732	significant	4	within	CTCF	1
ERX2868733	significant	4	within	CTCF	1
ERX2868733	significant	4	within	CTCF	1
ERX2868734	non_significant	3	within	CTCF	1
ERX2868734	non_significant	3	within	CTCF	1
ERX2868735	non_significant	3	within	CTCF	1
ERX2868735	non_significant	3	within	CTCF	1
ERX2868752	significant	4	within	CTCF	1
ERX2868752	significant	4	within	CTCF	1
ERX2868761	significant	6	within	CTCF	0.75
ERX2868761	non_significant	2	within	CTCF	0.25
ERX2868761	significant	6	within	CTCF	0.75
ERX2868761	non_significant	2	within	CTCF	0.25
ERX2868777	significant	3	within	CTCF	1
ERX2868777	significant	3	within	CTCF	1
ERX2868778	significant	4	within	CTCF	1
ERX2868778	significant	4	within	CTCF	1
ERX2868782	significant	3	within	CTCF	1
ERX2868782	significant	3	within	CTCF	1
ERX2868792	significant	3	within	CTCF	1
ERX2868792	significant	3	within	CTCF	1
ERX2868793	significant	4	within	CTCF	0.6666666666666666
ERX2868793	non_significant	2	within	CTCF	0.3333333333333333
ERX2868793	significant	4	within	CTCF	0.6666666666666666
ERX2868793	non_significant	2	within	CTCF	0.3333333333333333
ERX2868794	significant	3	within	CTCF	1
ERX2868794	significant	3	within	CTCF	1
ERX2868800	significant	4	within	CTCF	0.8
ERX2868800	non_significant	1	within	CTCF	0.2
ERX2868800	significant	4	within	CTCF	0.8
ERX2868800	non_significant	1	within	CTCF	0.2
ERX2868801	significant	3	within	CTCF	1
ERX2868801	significant	3	within	CTCF	1
ERX2868812	significant	4	within	CTCF	0.8
ERX2868812	non_significant	1	within	CTCF	0.2
ERX2868812	significant	4	within	CTCF	0.8
ERX2868812	non_significant	1	within	CTCF	0.2
ERX2868813	significant	4	within	CTCF	0.8
ERX2868813	non_significant	1	within	CTCF	0.2
ERX2868813	significant	4	within	CTCF	0.8
ERX2868813	non_significant	1	within	CTCF	0.2
ERX2868814	significant	3	within	CTCF	1
ERX2868814	significant	3	within	CTCF	1
ERX2868821	non_significant	3	within	CTCF	1
ERX2868821	non_significant	3	within	CTCF	1
ERX2869656	significant	2	within	CTCF	1
ERX2869656	significant	2	within	CTCF	1
SRX031246	significant	2	within	CTCF	1
SRX031246	significant	2	within	CTCF	1
SRX038524	significant	2	within	CTCF	1
SRX038524	significant	2	within	CTCF	1
SRX038665	significant	2	within	CTCF	1
SRX038665	significant	2	within	CTCF	1
SRX067396	significant	2	within	CTCF	1
SRX067396	significant	2	within	CTCF	1
SRX067423	significant	2	within	CTCF	1
SRX067423	significant	2	within	CTCF	1
SRX067475	significant	2	within	CTCF	1
SRX067475	significant	2	within	CTCF	1
SRX067495	significant	2	within	CTCF	1
SRX067495	significant	2	within	CTCF	1
SRX067503	significant	3	within	CTCF	1
SRX067503	significant	3	within	CTCF	1
SRX067513	significant	3	within	CTCF	1
SRX067513	significant	3	within	CTCF	1
SRX067516	significant	2	within	CTCF	1
SRX067516	significant	2	within	CTCF	1
SRX067534	significant	2	within	CTCF	1
SRX067534	significant	2	within	CTCF	1
SRX067536	significant	2	within	CTCF	1
SRX067536	significant	2	within	CTCF	1
SRX080336	significant	2	within	CTCF	1
SRX080336	significant	2	within	CTCF	1
SRX080338	significant	2	within	CTCF	1
SRX080338	significant	2	within	CTCF	1
SRX080341	significant	2	within	CTCF	1
SRX080341	significant	2	within	CTCF	1
SRX080344	significant	2	within	CTCF	1
SRX080344	significant	2	within	CTCF	1
SRX080352	significant	2	within	CTCF	1
SRX080352	significant	2	within	CTCF	1
SRX080359	significant	2	within	CTCF	1
SRX080359	significant	2	within	CTCF	1
SRX080362	significant	2	within	CTCF	1
SRX080362	significant	2	within	CTCF	1
SRX080369	significant	3	within	CTCF	1
SRX080369	significant	3	within	CTCF	1
SRX080373	significant	2	within	CTCF	1
SRX080373	significant	2	within	CTCF	1
SRX080375	significant	2	within	CTCF	1
SRX080375	significant	2	within	CTCF	1
SRX080377	significant	2	within	CTCF	1
SRX080377	significant	2	within	CTCF	1
SRX080380	significant	2	within	CTCF	1
SRX080380	significant	2	within	CTCF	1
SRX080386	significant	2	within	CTCF	1
SRX080386	significant	2	within	CTCF	1
SRX080391	significant	2	within	CTCF	1
SRX080391	significant	2	within	CTCF	1
SRX080395	significant	2	within	CTCF	1
SRX080395	significant	2	within	CTCF	1
SRX080408	significant	2	within	CTCF	1
