ID	significant	snp_num	label	TF	ratio
ERX1831867	significant	3	within	CTCF	1
ERX1831867	significant	3	within	CTCF	1
ERX2868668	significant	3	within	CTCF	0.75
ERX2868668	non_significant	1	within	CTCF	0.25
ERX2868668	significant	3	within	CTCF	0.75
ERX2868668	non_significant	1	within	CTCF	0.25
ERX2868669	significant	4	within	CTCF	0.8
ERX2868669	non_significant	1	within	CTCF	0.2
ERX2868669	significant	4	within	CTCF	0.8
ERX2868669	non_significant	1	within	CTCF	0.2
ERX2868670	significant	3	within	CTCF	0.75
ERX2868670	non_significant	1	within	CTCF	0.25
ERX2868670	significant	3	within	CTCF	0.75
ERX2868670	non_significant	1	within	CTCF	0.25
ERX2868671	significant	3	within	CTCF	1
ERX2868671	significant	3	within	CTCF	1
ERX2868672	significant	2	within	CTCF	1
ERX2868672	significant	2	within	CTCF	1
ERX2868673	significant	3	within	CTCF	0.75
ERX2868673	non_significant	1	within	CTCF	0.25
ERX2868673	significant	3	within	CTCF	0.75
ERX2868673	non_significant	1	within	CTCF	0.25
ERX2868692	significant	2	within	CTCF	1
ERX2868692	significant	2	within	CTCF	1
ERX2868693	significant	3	within	CTCF	1
ERX2868693	significant	3	within	CTCF	1
ERX2868695	significant	3	within	CTCF	0.75
ERX2868695	non_significant	1	within	CTCF	0.25
ERX2868695	significant	3	within	CTCF	0.75
ERX2868695	non_significant	1	within	CTCF	0.25
ERX2868696	significant	4	within	CTCF	0.8
ERX2868696	non_significant	1	within	CTCF	0.2
ERX2868696	significant	4	within	CTCF	0.8
ERX2868696	non_significant	1	within	CTCF	0.2
ERX2868697	significant	3	within	CTCF	0.75
ERX2868697	non_significant	1	within	CTCF	0.25
ERX2868697	significant	3	within	CTCF	0.75
ERX2868697	non_significant	1	within	CTCF	0.25
ERX2868710	significant	5	within	CTCF	0.8333333333333334
ERX2868710	non_significant	1	within	CTCF	0.16666666666666666
ERX2868710	significant	5	within	CTCF	0.8333333333333334
ERX2868710	non_significant	1	within	CTCF	0.16666666666666666
ERX2868711	significant	2	within	CTCF	0.5
ERX2868711	non_significant	2	within	CTCF	0.5
ERX2868711	significant	2	within	CTCF	0.5
ERX2868711	non_significant	2	within	CTCF	0.5
ERX2868712	significant	3	within	CTCF	0.6
ERX2868712	non_significant	2	within	CTCF	0.4
ERX2868712	significant	3	within	CTCF	0.6
ERX2868712	non_significant	2	within	CTCF	0.4
ERX2868713	significant	5	within	CTCF	1
ERX2868713	significant	5	within	CTCF	1
ERX2868714	significant	5	within	CTCF	0.8333333333333334
ERX2868714	non_significant	1	within	CTCF	0.16666666666666666
ERX2868714	significant	5	within	CTCF	0.8333333333333334
ERX2868714	non_significant	1	within	CTCF	0.16666666666666666
ERX2868715	significant	5	within	CTCF	0.7142857142857143
ERX2868715	non_significant	2	within	CTCF	0.2857142857142857
ERX2868715	significant	5	within	CTCF	0.7142857142857143
ERX2868715	non_significant	2	within	CTCF	0.2857142857142857
ERX2868716	significant	5	within	CTCF	0.7142857142857143
ERX2868716	non_significant	2	within	CTCF	0.2857142857142857
ERX2868716	significant	5	within	CTCF	0.7142857142857143
ERX2868716	non_significant	2	within	CTCF	0.2857142857142857
ERX2868717	significant	3	within	CTCF	0.6
ERX2868717	non_significant	2	within	CTCF	0.4
ERX2868717	significant	3	within	CTCF	0.6
ERX2868717	non_significant	2	within	CTCF	0.4
ERX2868732	non_significant	1	within	CTCF	1
ERX2868732	non_significant	1	within	CTCF	1
ERX2868733	significant	5	within	CTCF	0.8333333333333334
ERX2868733	non_significant	1	within	CTCF	0.16666666666666666
ERX2868733	significant	5	within	CTCF	0.8333333333333334
ERX2868733	non_significant	1	within	CTCF	0.16666666666666666
ERX2868734	significant	2	within	CTCF	0.4
ERX2868734	non_significant	3	within	CTCF	0.6
ERX2868734	significant	2	within	CTCF	0.4
ERX2868734	non_significant	3	within	CTCF	0.6
ERX2868735	significant	3	within	CTCF	0.6
ERX2868735	non_significant	2	within	CTCF	0.4
ERX2868735	significant	3	within	CTCF	0.6
ERX2868735	non_significant	2	within	CTCF	0.4
ERX2868752	significant	4	within	CTCF	0.8
ERX2868752	non_significant	1	within	CTCF	0.2
ERX2868752	significant	4	within	CTCF	0.8
ERX2868752	non_significant	1	within	CTCF	0.2
ERX2868761	significant	4	within	CTCF	0.8
ERX2868761	non_significant	1	within	CTCF	0.2
ERX2868761	significant	4	within	CTCF	0.8
ERX2868761	non_significant	1	within	CTCF	0.2
ERX2868777	significant	4	within	CTCF	1
ERX2868777	significant	4	within	CTCF	1
ERX2868778	significant	3	within	CTCF	0.75
ERX2868778	non_significant	1	within	CTCF	0.25
ERX2868778	significant	3	within	CTCF	0.75
ERX2868778	non_significant	1	within	CTCF	0.25
ERX2868782	significant	4	within	CTCF	1
ERX2868782	significant	4	within	CTCF	1
ERX2868792	significant	4	within	CTCF	1
ERX2868792	significant	4	within	CTCF	1
ERX2868793	significant	6	within	CTCF	0.8571428571428571
ERX2868793	non_significant	1	within	CTCF	0.14285714285714285
ERX2868793	significant	6	within	CTCF	0.8571428571428571
ERX2868793	non_significant	1	within	CTCF	0.14285714285714285
ERX2868794	significant	3	within	CTCF	1
ERX2868794	significant	3	within	CTCF	1
ERX2868800	significant	3	within	CTCF	1
ERX2868800	significant	3	within	CTCF	1
ERX2868801	significant	3	within	CTCF	0.75
ERX2868801	non_significant	1	within	CTCF	0.25
ERX2868801	significant	3	within	CTCF	0.75
ERX2868801	non_significant	1	within	CTCF	0.25
ERX2868812	significant	5	within	CTCF	1
ERX2868812	significant	5	within	CTCF	1
ERX2868813	significant	4	within	CTCF	0.6666666666666666
ERX2868813	non_significant	2	within	CTCF	0.3333333333333333
ERX2868813	significant	4	within	CTCF	0.6666666666666666
ERX2868813	non_significant	2	within	CTCF	0.3333333333333333
ERX2868814	significant	3	within	CTCF	0.75
ERX2868814	non_significant	1	within	CTCF	0.25
ERX2868814	significant	3	within	CTCF	0.75
ERX2868814	non_significant	1	within	CTCF	0.25
ERX2868821	significant	3	within	CTCF	0.75
ERX2868821	non_significant	1	within	CTCF	0.25
ERX2868821	significant	3	within	CTCF	0.75
